N,Procesos,Total_s,Calculo_s,Comunicacion_s
512,1,1.000535,1.000459,0.000016
512,2,0.530576,0.527290,0.003229
512,4,0.288029,0.243084,0.044699
512,8,0.165258,0.121292,0.043689
512,16,0.108833,0.067564,0.040798
512,32,0.077989,0.036679,0.040011
1024,1,3.889512,3.889434,0.000013
1024,2,2.024211,2.018653,0.005486
1024,4,1.045998,1.039240,0.006677
1024,8,0.598888,0.508392,0.088783
1024,16,0.379166,0.264917,0.113489
1024,32,0.268707,0.146860,0.120324
2048,1,15.486683,15.486493,0.000049
2048,2,8.015562,7.985611,0.029751
2048,4,4.050107,4.038622,0.011325
2048,8,2.197827,2.187997,0.009698
2048,16,1.303773,1.104401,0.190464
2048,32,0.887010,0.596607,0.285687
4096,1,61.914910,61.914720,0.000022
4096,2,32.019019,31.972901,0.045889
4096,4,16.124259,16.103605,0.020489
4096,8,8.614261,8.588558,0.025453
4096,16,4.817559,4.792392,0.025001
4096,32,3.376202,2.848708,0.475052
8192,1,245.923765,245.923576,0.000022
8192,2,127.833588,127.662212,0.171144
8192,4,63.993006,63.929255,0.063579
8192,8,33.685381,33.630006,0.055197
8192,16,18.576346,18.532977,0.043205
8192,32,13.119167,13.035616,0.083156
